feature,importance
degree,0.14094954219231182
betweenness,0.09904594144913433
clustering,0.015115582598702508
dim_62,0.013956564404401735
strength,0.012989530294164098
dim_13,0.01289872343194029
dim_61,0.012871963314584659
dim_46,0.0128394346959733
dim_34,0.012525752360992794
dim_38,0.012517400995888262
dim_12,0.012512874631669522
dim_14,0.012497316116371263
dim_53,0.012481907895527798
dim_25,0.01229158073150297
dim_55,0.012286787983595886
dim_26,0.012225135278329514
dim_29,0.012206353380985772
dim_52,0.012123408417279186
dim_56,0.012089480360060214
dim_15,0.01204229525522735
dim_42,0.012020391388099468
dim_6,0.011873808873578489
dim_58,0.011642348576042913
dim_4,0.011620378866297234
dim_54,0.01160143225947617
dim_7,0.011588589335176317
dim_60,0.011499625399980885
dim_10,0.011487868267477027
dim_43,0.011422689835077783
dim_41,0.011415415855733642
dim_1,0.01139533142080639
dim_40,0.011385960248997896
dim_23,0.011358578700863682
dim_31,0.011315718081347338
dim_39,0.011229557642832674
dim_30,0.011199359757652742
dim_24,0.011192583411730489
dim_27,0.011171486221091959
dim_36,0.011166069891253084
dim_17,0.01108920933554194
dim_32,0.011085456405143523
dim_18,0.011065041258789692
dim_48,0.01103594866953889
dim_2,0.010953309912522646
dim_20,0.01095269682435898
dim_3,0.010933984700382312
dim_63,0.010912890528912145
dim_51,0.010863992128714695
dim_8,0.01085879734446864
dim_19,0.010813882526144698
dim_47,0.010775225787239022
dim_28,0.010760457974957015
dim_9,0.010626174943828363
dim_22,0.01061949900072981
dim_16,0.010618437002173714
dim_11,0.010593587795036725
dim_21,0.010559553850875491
dim_37,0.010551787101442545
dim_0,0.010543678861202265
dim_49,0.01052257628515413
dim_35,0.010516338731133952
dim_33,0.01049336455544999
dim_50,0.0104912083220099
dim_59,0.010382951580839557
dim_57,0.009808652020646978
dim_44,0.009793832869012038
dim_5,0.009631340871172829
dim_45,0.009599445958150373
eigenvector,0.006491907032267735
